,fiscal_year,stock_code,ind_name1,ind_name2,E_proportion,G_proportion,None_proportion,S_proportion
4583,2016,1198,非必需性消費,家庭電器及用品,0.3828125,0.09375,0.0703125,0.453125
4584,2016,1508,金融,保險,0.2211221122112211,0.0726072607260726,0.1023102310231023,0.6039603960396039
4585,2016,3689,醫療保健,醫療保健設備及服務,0.264367816091954,0.0996168582375478,0.0689655172413793,0.5670498084291188
4586,2016,1192,工業,工業工程,0.32,0.2266666666666666,0.1066666666666666,0.3466666666666667
4587,2016,509,原材料,其他原材料,0.3642857142857142,0.05,0.1428571428571428,0.4428571428571428
4588,2016,1231,原材料,一般金屬及礦石,0.3137254901960784,0.0784313725490196,0.0784313725490196,0.5294117647058824
4589,2016,868,工業,工業工程,0.4824120603015075,0.050251256281407,0.1557788944723618,0.3115577889447236
4590,2016,601,原材料,一般金屬及礦石,0.3888888888888889,0.074074074074074,0.074074074074074,0.4629629629629629
4591,2016,1913,非必需性消費,紡織及服飾,0.1194968553459119,0.1090146750524109,0.2012578616352201,0.570230607966457
4592,2016,2379,地產建築,地產,0.3066666666666666,0.0933333333333333,0.04,0.56
4593,2017,821,金融,其他金融,0.2469135802469135,0.1234567901234567,0.1234567901234567,0.5061728395061729
4594,2016,646,公用事業,公用事業,0.5975609756097561,0.073170731707317,0.024390243902439,0.3048780487804878
4595,2016,1606,金融,其他金融,0.1973684210526315,0.131578947368421,0.2434210526315789,0.4276315789473684
4596,2016,1558,醫療保健,藥品及生物科技,0.2717770034843205,0.1045296167247386,0.1777003484320557,0.445993031358885
4597,2016,2009,地產建築,建築,0.22265625,0.078125,0.20703125,0.4921875
4598,2016,1068,必需性消費,農產品,0.2388663967611336,0.0526315789473684,0.1052631578947368,0.6032388663967612
4599,2016,3396,資訊科技,資訊科技器材,0.2483660130718954,0.1176470588235294,0.1045751633986928,0.5294117647058824
4600,2016,6838,非必需性消費,紡織及服飾,0.3888888888888889,0.125,0.0694444444444444,0.4166666666666667
4601,2016,345,必需性消費,食品飲料,0.354515050167224,0.040133779264214,0.1137123745819397,0.4916387959866221
4602,2016,142,必需性消費,食品飲料,0.1942446043165467,0.158273381294964,0.3057553956834532,0.3417266187050359
4603,2016,602,非必需性消費,零售相關,0.3283582089552239,0.0820895522388059,0.1194029850746268,0.4701492537313433
4604,2016,2202,地產建築,地產,0.1771561771561771,0.0652680652680652,0.0862470862470862,0.6713286713286714
4605,2017,18,非必需性消費,媒體及娛樂,0.2909090909090909,0.1,0.109090909090909,0.5
4606,2016,931,公用事業,公用事業,0.536,0.064,0.112,0.288
4607,2016,609,原材料,其他原材料,0.4497607655502392,0.0669856459330143,0.0861244019138756,0.3971291866028708
4608,2016,181,非必需性消費,旅遊及休閒設施,0.3263157894736842,0.1157894736842105,0.1157894736842105,0.4421052631578947
4609,2016,1230,必需性消費,食品飲料,0.2669789227166276,0.0421545667447306,0.1053864168618267,0.585480093676815
4610,2017,341,非必需性消費,旅遊及休閒設施,0.24,0.0533333333333333,0.0586666666666666,0.648
4611,2016,138,非必需性消費,零售相關,0.2765957446808511,0.0425531914893617,0.1276595744680851,0.5531914893617021
4612,2016,261,地產建築,地產,0.3492063492063492,0.0158730158730158,0.1111111111111111,0.5238095238095238
4613,2016,968,工業,工業工程,0.3375796178343949,0.1337579617834395,0.10828025477707,0.4203821656050955
4614,2016,1168,地產建築,地產,0.3275862068965517,0.1379310344827586,0.0517241379310344,0.4827586206896552
4615,2016,3839,醫療保健,藥品及生物科技,0.3486238532110092,0.0825688073394495,0.018348623853211,0.5504587155963303
4616,2016,1617,資訊科技,資訊科技器材,0.2972972972972973,0.0945945945945946,0.1621621621621621,0.4459459459459459
4617,2016,2223,非必需性消費,家庭電器及用品,0.2727272727272727,0.0578512396694214,0.1818181818181818,0.4876033057851239
4618,2016,1184,工業,工業工程,0.3035714285714285,0.0714285714285714,0.1428571428571428,0.4821428571428571
4619,2016,79,非必需性消費,支援服務,0.3131313131313131,0.1515151515151515,0.0303030303030303,0.5050505050505051
4620,2016,1629,工業,工業支援,0.25,0.1111111111111111,0.1666666666666666,0.4722222222222222
4621,2018,106,地產建築,地產,0.4098837209302325,0.0581395348837209,0.1046511627906976,0.4273255813953488
4622,2018,968,工業,工業工程,0.4727272727272727,0.0779220779220779,0.1636363636363636,0.2857142857142857
4623,2018,2669,地產建築,地產,0.3157894736842105,0.0847953216374269,0.0906432748538011,0.5087719298245614
4624,2018,1586,非必需性消費,支援服務,0.389937106918239,0.0440251572327044,0.1069182389937107,0.4591194968553459
4625,2018,868,工業,工業工程,0.4455128205128205,0.1538461538461538,0.157051282051282,0.2435897435897435
4626,2018,1623,能源,石油及天然氣,0.3577981651376147,0.091743119266055,0.1559633027522936,0.3944954128440367
4627,2018,2727,工業,工業工程,0.2464646464646464,0.0909090909090909,0.1595959595959596,0.503030303030303
4628,2018,2683,非必需性消費,紡織及服飾,0.4029850746268656,0.208955223880597,0.0149253731343283,0.373134328358209
4629,2018,1571,非必需性消費,汽車,0.397887323943662,0.102112676056338,0.1408450704225352,0.3591549295774648
4630,2018,1184,工業,工業工程,0.48,0.0533333333333333,0.0933333333333333,0.3733333333333333
4631,2018,6158,地產建築,地產,0.3454545454545454,0.0272727272727272,0.0727272727272727,0.5545454545454546
4632,2018,1282,金融,其他金融,0.416,0.16,0.072,0.352
4633,2018,1558,醫療保健,藥品及生物科技,0.2740524781341107,0.0991253644314868,0.1486880466472303,0.478134110787172
4634,2018,631,工業,工業工程,0.3955555555555555,0.1466666666666666,0.1377777777777777,0.32
4635,2018,3990,地產建築,地產,0.304054054054054,0.0777027027027027,0.0844594594594594,0.5337837837837838
4636,2018,1068,必需性消費,農產品,0.277136258660508,0.0762124711316397,0.1131639722863741,0.5334872979214781
4637,2018,1993,非必需性消費,媒體及娛樂,0.4039735099337748,0.119205298013245,0.0596026490066225,0.4172185430463576
4638,2018,3662,地產建築,地產,0.3502824858757062,0.096045197740113,0.0847457627118644,0.4689265536723164
4639,2018,3828,必需性消費,消費零售,0.3596491228070175,0.0964912280701754,0.131578947368421,0.4122807017543859
4640,2018,288,必需性消費,農產品,0.3180827886710239,0.065359477124183,0.0457516339869281,0.5708061002178649
4641,2018,905,金融,其他金融,0.4285714285714285,0.0952380952380952,0.1547619047619047,0.3214285714285714
4642,2018,1205,原材料,一般金屬及礦石,0.3754152823920266,0.1129568106312292,0.1395348837209302,0.3720930232558139
4643,2018,3319,地產建築,地產,0.2790697674418604,0.1007751937984496,0.0968992248062015,0.5232558139534884
4644,2018,753,非必需性消費,旅遊及休閒設施,0.1754966887417218,0.0331125827814569,0.1423841059602649,0.6490066225165563
4645,2018,1107,地產建築,地產,0.3259052924791086,0.0584958217270195,0.1142061281337047,0.5013927576601671
4646,2019,8326,公用事業,公用事業,0.3946188340807174,0.0717488789237668,0.1614349775784753,0.3721973094170404
4647,2018,341,非必需性消費,旅遊及休閒設施,0.2741116751269035,0.0786802030456852,0.0456852791878172,0.6015228426395939
4648,2018,423,非必需性消費,媒體及娛樂,0.3837209302325581,0.0465116279069767,0.1162790697674418,0.4534883720930232
4649,2018,312,非必需性消費,零售相關,0.3092369477911647,0.1325301204819277,0.0963855421686747,0.4618473895582329
4650,2018,520,非必需性消費,旅遊及休閒設施,0.2458100558659217,0.0670391061452514,0.1340782122905028,0.553072625698324
4651,2018,1588,資訊科技,軟件服務,0.1914191419141914,0.066006600660066,0.1221122112211221,0.6204620462046204
4652,2018,1146,非必需性消費,紡織及服飾,0.5288461538461539,0.0961538461538461,0.0769230769230769,0.2980769230769231
4653,2018,137,工業,工業運輸,0.5074626865671642,0.1194029850746268,0.1343283582089552,0.2388059701492537
4654,2018,1451,工業,工業支援,0.4336283185840708,0.1592920353982301,0.0442477876106194,0.3628318584070796
4655,2019,8096,非必需性消費,旅遊及休閒設施,0.4568965517241379,0.0948275862068965,0.0603448275862069,0.3879310344827586
4656,2019,8425,工業,工業工程,0.4473684210526316,0.1052631578947368,0.0921052631578947,0.3552631578947368
4657,2018,602,非必需性消費,零售相關,0.2914798206278027,0.0313901345291479,0.1255605381165919,0.5515695067264574
4658,2018,579,公用事業,公用事業,0.3556485355648535,0.0920502092050209,0.0334728033472803,0.5188284518828452
4659,2018,698,工業,工業工程,0.4137931034482758,0.0482758620689655,0.0344827586206896,0.503448275862069
4660,2018,296,非必需性消費,旅遊及休閒設施,0.2878787878787879,0.1666666666666666,0.0833333333333333,0.4621212121212121
4661,2018,163,地產建築,地產,0.2536585365853658,0.1024390243902439,0.1073170731707317,0.5365853658536586
