股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
1999,敏華控股,23,非必需性消費,2320,家庭電器及用品,232040,家具
2000,晨訊科技,70,資訊科技,7010,資訊科技器材,701010,電訊設備
2001,新高教集團,23,非必需性消費,2360,支援服務,236010,教育
2002,陽光紙業,5,原材料,530,其他原材料,53030,紙品相關
2003,維信金科,50,金融,5030,其他金融,503030,信貸
2005,石四藥集團,28,醫療保健,2810,藥品及生物科技,281010,藥品
2007,碧桂園,60,地產建築,6010,地產,601020,地產發展商
2008,鳳凰衛視,23,非必需性消費,2350,媒體及娛樂,235020,廣播
2009,金隅集團,60,地產建築,6020,建築,602010,建築材料
2011,中國恒泰集團,23,非必需性消費,2330,紡織及服飾,233050,其他服飾配件
2012,陽光油砂,0,能源,10,石油及天然氣,1010,油氣生產商
2013,微盟集團,23,非必需性消費,2350,媒體及娛樂,235010,廣告及宣傳
2015,理想汽車-W,23,非必需性消費,2310,汽車,231010,汽車
2016,浙商銀行,50,金融,5010,銀行,501010,銀行
2017,滄海控股,60,地產建築,6020,建築,602020,建築及服務
2018,瑞聲科技,10,工業,1010,工業工程,101025,電子零件
2019,德信中國,60,地產建築,6010,地產,601020,地產發展商
2020,安踏體育,23,非必需性消費,2330,紡織及服飾,233020,服裝
2022,遊萊互動,70,資訊科技,7020,軟件服務,702030,軟件開發
2023,中國綠島科技,23,非必需性消費,2320,家庭電器及用品,232040,家具
2025,瑞豐動力,23,非必需性消費,2310,汽車,231020,汽車零件
2028,映美控股,70,資訊科技,7010,資訊科技器材,701020,電腦及周邊
2030,卡賓,23,非必需性消費,2330,紡織及服飾,233020,服裝
2031,澳至尊,28,醫療保健,2810,藥品及生物科技,281010,藥品
2033,時計寶,23,非必需性消費,2330,紡織及服飾,233040,珠寶鐘錶
2038,富智康集團,70,資訊科技,7010,資訊科技器材,701010,電訊設備
2039,中集集團,10,工業,1010,工業工程,101010,商用車及貨車
2048,易居企業控股,60,地產建築,6010,地產,601010,地產代理
2051,51信用卡,50,金融,5030,其他金融,503030,信貸
2057,中通快遞-SW,10,工業,1020,工業運輸,102030,航空貨運及物流
2060,浦江國際,60,地產建築,6020,建築,602010,建築材料
2066,盛京銀行,50,金融,5010,銀行,501010,銀行
2068,中鋁國際,60,地產建築,6020,建築,602030,重型基建
2076,BOSS直聘－W,23,非必需性消費,2360,支援服務,236020,其他支援服務
2078,榮陽實業,5,原材料,520,一般金屬及礦石,52030,鋁
2080,奧克斯國際,60,地產建築,6010,地產,601050,物業管理及服務
2086,高維科技,70,資訊科技,7010,資訊科技器材,701020,電腦及周邊
2088,西王置業,60,地產建築,6010,地產,601020,地產發展商
2096,先聲藥業,28,醫療保健,2810,藥品及生物科技,281010,藥品
2098,卓爾智聯,10,工業,1030,工業支援,103010,採購及供應鏈管理
2099,中國黃金國際,5,原材料,510,黃金及貴金屬,51010,黃金及貴金屬
2100,百奧家庭互動,70,資訊科技,7020,軟件服務,702030,軟件開發
2101,福祿控股,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
2102,德利機械,10,工業,1010,工業工程,101040,重型機械
2103,新力控股集團,60,地產建築,6010,地產,601020,地產發展商
